Learning_rate,N_estimators,Min_samples_split,Min_samples_leaf,Max_depth,MMRE-
0.001,100,2,20,10,32.44568
0.001,100,2,20,20,32.44568
0.001,100,2,20,30,32.44568
0.001,100,2,20,100,32.44568
0.001,100,6,1,5,32.454699999999995
0.001,100,6,1,10,32.40136
0.001,100,6,1,20,32.399
0.001,100,6,1,30,32.399
0.001,100,6,1,100,32.399
0.001,100,6,5,5,32.45572000000001
0.001,100,6,5,10,32.39672
0.001,100,6,5,20,32.39672
0.001,100,6,5,30,32.39672
0.001,100,6,5,100,32.39672
0.001,100,6,10,5,32.45804
0.001,100,6,10,10,32.40592
0.001,100,6,10,20,32.40592
0.001,100,6,10,30,32.40592
0.001,100,6,10,100,32.40592
0.001,100,6,20,5,32.46546
0.001,100,6,20,10,32.44568
0.001,100,6,20,20,32.44568
0.001,100,6,20,30,32.44568
0.001,100,6,20,100,32.44568
0.001,100,10,1,5,32.454840000000004
0.001,100,10,1,10,32.39902000000001
0.001,100,10,1,20,32.398900000000005
0.001,100,10,1,30,32.398900000000005
0.001,100,10,1,100,32.398900000000005
0.001,100,10,5,5,32.45572000000001
0.001,100,10,5,10,32.39672
0.001,100,10,5,20,32.39672
0.001,100,10,5,30,32.39672
0.001,100,10,5,100,32.39672
0.001,100,10,10,5,32.45804
0.001,100,10,10,10,32.40592
0.001,100,10,10,20,32.40592
0.001,100,10,10,30,32.40592
0.001,100,10,10,100,32.40592
0.001,100,10,20,5,32.46546
0.001,100,10,20,10,32.44568
0.001,100,10,20,20,32.44568
0.001,100,10,20,30,32.44568
0.001,100,10,20,100,32.44568
0.001,100,20,1,5,32.45532
0.001,100,20,1,10,32.39748
0.001,100,20,1,20,32.39748
0.001,100,20,1,30,32.39748
0.001,100,20,1,100,32.39748
0.001,100,20,5,5,32.45622
0.001,100,20,5,10,32.39872
0.001,100,20,5,20,32.39872
0.001,100,20,5,30,32.39872
0.001,100,20,5,100,32.39872
0.001,100,20,10,5,32.45804
0.001,100,20,10,10,32.40592
0.001,100,20,10,20,32.40592
0.001,100,20,10,30,32.40592
0.001,100,20,10,100,32.40592
0.001,100,20,20,5,32.46546
0.001,100,20,20,10,32.44568
0.001,100,20,20,20,32.44568
0.001,100,20,20,30,32.44568
0.001,100,20,20,100,32.44568
0.001,100,40,1,5,32.46468
0.001,100,40,1,10,32.444300000000005
0.001,100,40,1,20,32.444300000000005
0.001,100,40,1,30,32.444300000000005
0.001,100,40,1,100,32.444300000000005
0.001,100,40,5,5,32.46468
0.001,100,40,5,10,32.444300000000005
0.001,100,40,5,20,32.444300000000005
0.001,100,40,5,30,32.444300000000005
0.001,100,40,5,100,32.444300000000005
0.001,100,40,10,5,32.465500000000006
0.001,100,40,10,10,32.44512
0.001,100,40,10,20,32.44512
0.001,100,40,10,30,32.44512
0.001,100,40,10,100,32.44512
0.001,100,40,20,5,32.46546
0.001,100,40,20,10,32.44568
0.001,100,40,20,20,32.44568
0.001,100,40,20,30,32.44568
0.001,100,40,20,100,32.44568
0.001,200,2,1,5,29.48716
0.001,200,2,1,10,29.4007
0.001,200,2,1,20,29.399540000000002
0.001,200,2,1,30,29.39968
0.001,200,2,1,100,29.399520000000003
0.001,200,2,5,5,29.488419999999998
0.001,200,2,5,10,29.359859999999998
0.001,200,2,5,20,29.35992
0.001,200,2,5,30,29.35992
0.001,200,2,5,100,29.35992
0.001,200,2,10,5,29.4932
0.001,200,2,10,10,29.37722
0.001,200,2,10,20,29.37722
0.001,200,2,10,30,29.37722
0.001,200,2,10,100,29.37722
0.001,200,2,20,5,29.50548
0.001,200,2,20,10,29.45998
0.001,200,2,20,20,29.45998
0.001,200,2,20,30,29.45998
0.001,200,2,20,100,29.45998
0.001,200,6,1,5,29.48668
0.001,200,6,1,10,29.36936
0.001,200,6,1,20,29.365160000000003
0.001,200,6,1,30,29.365160000000003
0.001,200,6,1,100,29.365160000000003
0.001,200,6,5,5,29.488419999999998
0.001,200,6,5,10,29.359859999999998
0.001,200,6,5,20,29.35992
0.001,200,6,5,30,29.35992
0.001,200,6,5,100,29.35992
0.001,200,6,10,5,29.4932
0.001,200,6,10,10,29.37722
0.001,200,6,10,20,29.37722
0.001,200,6,10,30,29.37722
0.001,200,6,10,100,29.37722
0.001,200,6,20,5,29.50548
0.001,200,6,20,10,29.45998
0.001,200,6,20,20,29.45998
0.001,200,6,20,30,29.45998
0.001,200,6,20,100,29.45998
0.001,200,10,1,5,29.486939999999997
0.001,200,10,1,10,29.363620000000004
0.001,200,10,1,20,29.363259999999997
0.001,200,10,1,30,29.363259999999997
0.001,200,10,1,100,29.363259999999997
0.001,200,10,5,5,29.488419999999998
0.001,200,10,5,10,29.359859999999998
0.001,200,10,5,20,29.35992
0.001,200,10,5,30,29.35992
0.001,200,10,5,100,29.35992
0.001,200,10,10,5,29.4932
0.001,200,10,10,10,29.37722
0.001,200,10,10,20,29.37722
0.001,200,10,10,30,29.37722
0.001,200,10,10,100,29.37722
0.001,200,10,20,5,29.50548
0.001,200,10,20,10,29.45998
0.001,200,10,20,20,29.45998
0.001,200,10,20,30,29.45998
0.001,200,10,20,100,29.45998
0.001,200,20,1,5,29.487900000000003
0.001,200,20,1,10,29.36008
0.001,200,20,1,20,29.36008
0.001,200,20,1,30,29.36008
0.001,200,20,1,100,29.36008
0.001,200,20,5,5,29.489440000000002
0.001,200,20,5,10,29.36232
0.001,200,20,5,20,29.36232
0.001,200,20,5,30,29.36232
0.001,200,20,5,100,29.36232
0.001,200,20,10,5,29.4932
0.001,200,20,10,10,29.37722
0.001,200,20,10,20,29.37722
0.001,200,20,10,30,29.37722
0.001,200,20,10,100,29.37722
0.001,200,20,20,5,29.50548
0.001,200,20,20,10,29.45998
0.001,200,20,20,20,29.45998
0.001,200,20,20,30,29.45998
0.001,200,20,20,100,29.45998
0.001,200,40,1,5,29.50406
0.001,200,40,1,10,29.45738
0.001,200,40,1,20,29.45738
0.001,200,40,1,30,29.45738
0.001,200,40,1,100,29.45738
0.001,200,40,5,5,29.50406
0.001,200,40,5,10,29.45738
0.001,200,40,5,20,29.45738
0.001,200,40,5,30,29.45738
0.001,200,40,5,100,29.45738
0.001,200,40,10,5,29.50562
0.001,200,40,10,10,29.458940000000002
0.001,200,40,10,20,29.458940000000002
0.001,200,40,10,30,29.458940000000002
0.001,200,40,10,100,29.458940000000002
0.001,200,40,20,5,29.50548
0.001,200,40,20,10,29.45998
0.001,200,40,20,20,29.45998
0.001,200,40,20,30,29.45998
0.001,200,40,20,100,29.45998
0.001,350,2,1,5,25.604180000000003
0.001,350,2,1,10,25.411879999999996
0.001,350,2,1,20,25.4142
0.001,350,2,1,30,25.4143
0.001,350,2,1,100,25.4142
0.001,350,2,5,5,25.60536
0.001,350,2,5,10,25.34762
0.001,350,2,5,20,25.34784
0.001,350,2,5,30,25.34784
0.001,350,2,5,100,25.34784
0.001,350,2,10,5,25.61316
0.001,350,2,10,10,25.37218
0.001,350,2,10,20,25.37218
0.001,350,2,10,30,25.37218
0.001,350,2,10,100,25.37218
0.001,350,2,20,5,25.63014
0.001,350,2,20,10,25.51212
0.001,350,2,20,20,25.51212
0.001,350,2,20,30,25.51212
0.001,350,2,20,100,25.51212
0.001,350,6,1,5,25.603460000000002
0.001,350,6,1,10,25.366419999999998
0.001,350,6,1,20,25.3604
0.001,350,6,1,30,25.3604
0.001,350,6,1,100,25.3604
0.001,350,6,5,5,25.60536
0.001,350,6,5,10,25.34762
0.001,350,6,5,20,25.34784
0.001,350,6,5,30,25.34784
0.001,350,6,5,100,25.34784
0.001,350,6,10,5,25.61316
0.001,350,6,10,10,25.37218
0.001,350,6,10,20,25.37218
0.001,350,6,10,30,25.37218
0.001,350,6,10,100,25.37218
0.001,350,6,20,5,25.63014
0.001,350,6,20,10,25.51212
0.001,350,6,20,20,25.51212
0.001,350,6,20,30,25.51212
0.001,350,6,20,100,25.51212
0.001,350,10,1,5,25.60384
0.001,350,10,1,10,25.35256
