alpha,fit_intercept,copy_X,max_iter,tol,solver,MMRE-
0.001,False,True,15000,0.001,sparse_cg,84.65926
0.001,False,True,15000,0.001,sag,84.65169999999999
0.001,False,True,15000,0.001,saga,84.65547999999998
0.001,False,True,15000,0.01,auto,17.10718
0.001,False,True,15000,0.01,svd,17.10718
0.001,False,True,15000,0.01,cholesky,17.10718
0.001,False,True,15000,0.01,lsqr,84.65926
0.001,False,True,15000,0.01,sparse_cg,84.65926
0.001,False,True,15000,0.01,sag,86.52850000000001
0.001,False,True,15000,0.01,saga,84.71589999999999
0.001,False,True,15000,0.1,auto,17.10718
0.001,False,True,15000,0.1,svd,17.10718
0.001,False,True,15000,0.1,cholesky,17.10718
0.001,False,True,15000,0.1,lsqr,84.65926
0.001,False,True,15000,0.1,sparse_cg,84.65926
0.001,False,True,15000,0.1,sag,84.95014
0.001,False,True,15000,0.1,saga,84.50462
0.001,False,True,20000,0.0001,auto,17.10718
0.001,False,True,20000,0.0001,svd,17.10718
0.001,False,True,20000,0.0001,cholesky,17.10718
0.001,False,True,20000,0.0001,lsqr,84.65926
0.001,False,True,20000,0.0001,sparse_cg,84.65926
0.001,False,True,20000,0.0001,sag,84.58368
0.001,False,True,20000,0.0001,saga,84.62142000000001
0.001,False,True,20000,0.001,auto,17.10718
0.001,False,True,20000,0.001,svd,17.10718
0.001,False,True,20000,0.001,cholesky,17.10718
0.001,False,True,20000,0.001,lsqr,84.65926
0.001,False,True,20000,0.001,sparse_cg,84.65926
0.001,False,True,20000,0.001,sag,84.65169999999999
0.001,False,True,20000,0.001,saga,84.65547999999998
0.001,False,True,20000,0.01,auto,17.10718
0.001,False,True,20000,0.01,svd,17.10718
0.001,False,True,20000,0.01,cholesky,17.10718
0.001,False,True,20000,0.01,lsqr,84.65926
0.001,False,True,20000,0.01,sparse_cg,84.65926
0.001,False,True,20000,0.01,sag,84.94122000000002
0.001,False,True,20000,0.01,saga,84.77871999999999
0.001,False,True,20000,0.1,auto,17.10718
0.001,False,True,20000,0.1,svd,17.10718
0.001,False,True,20000,0.1,cholesky,17.10718
0.001,False,True,20000,0.1,lsqr,84.65926
0.001,False,True,20000,0.1,sparse_cg,84.65926
0.001,False,True,20000,0.1,sag,89.025
0.001,False,True,20000,0.1,saga,84.96697999999999
0.001,False,True,50000,0.0001,auto,17.10718
0.001,False,True,50000,0.0001,svd,17.10718
0.001,False,True,50000,0.0001,cholesky,17.10718
0.001,False,True,50000,0.0001,lsqr,84.65926
0.001,False,True,50000,0.0001,sparse_cg,84.65926
0.001,False,True,50000,0.0001,sag,84.58368
0.001,False,True,50000,0.0001,saga,84.62142000000001
0.001,False,True,50000,0.001,auto,17.10718
0.001,False,True,50000,0.001,svd,17.10718
0.001,False,True,50000,0.001,cholesky,17.10718
0.001,False,True,50000,0.001,lsqr,84.65926
0.001,False,True,50000,0.001,sparse_cg,84.65926
0.001,False,True,50000,0.001,sag,84.65169999999999
0.001,False,True,50000,0.001,saga,84.65547999999998
0.001,False,True,50000,0.01,auto,17.10718
0.001,False,True,50000,0.01,svd,17.10718
0.001,False,True,50000,0.01,cholesky,17.10718
0.001,False,True,50000,0.01,lsqr,84.65926
0.001,False,True,50000,0.01,sparse_cg,84.65926
0.001,False,True,50000,0.01,sag,84.78482
0.001,False,True,50000,0.01,saga,85.13022000000001
0.001,False,True,50000,0.1,auto,17.10718
0.001,False,True,50000,0.1,svd,17.10718
0.001,False,True,50000,0.1,cholesky,17.10718
0.001,False,True,50000,0.1,lsqr,84.65926
0.001,False,True,50000,0.1,sparse_cg,84.65926
0.001,False,True,50000,0.1,sag,86.3417
0.001,False,True,50000,0.1,saga,84.19622000000001
0.001,False,False,5000,0.0001,auto,17.10718
0.001,False,False,5000,0.0001,svd,17.10718
0.001,False,False,5000,0.0001,cholesky,17.10718
0.001,False,False,5000,0.0001,lsqr,84.65926
0.001,False,False,5000,0.0001,sparse_cg,84.65926
0.001,False,False,5000,0.0001,sag,84.62142000000001
0.001,False,False,5000,0.0001,saga,84.6403
0.001,False,False,5000,0.001,auto,17.10718
0.001,False,False,5000,0.001,svd,17.10718
0.001,False,False,5000,0.001,cholesky,17.10718
0.001,False,False,5000,0.001,lsqr,84.65926
0.001,False,False,5000,0.001,sparse_cg,84.65926
0.001,False,False,5000,0.001,sag,84.65169999999999
0.001,False,False,5000,0.001,saga,84.65547999999998
0.001,False,False,5000,0.01,auto,17.10718
0.001,False,False,5000,0.01,svd,17.10718
0.001,False,False,5000,0.01,cholesky,17.10718
0.001,False,False,5000,0.01,lsqr,84.65926
0.001,False,False,5000,0.01,sparse_cg,84.65926
0.001,False,False,5000,0.01,sag,85.08279999999999
0.001,False,False,5000,0.01,saga,84.6591
0.001,False,False,5000,0.1,auto,17.10718
0.001,False,False,5000,0.1,svd,17.10718
0.001,False,False,5000,0.1,cholesky,17.10718
0.001,False,False,5000,0.1,lsqr,84.65926
0.001,False,False,5000,0.1,sparse_cg,84.65926
0.001,False,False,5000,0.1,sag,87.85445999999999
0.001,False,False,5000,0.1,saga,85.24504
0.001,False,False,15000,0.0001,auto,17.10718
0.001,False,False,15000,0.0001,svd,17.10718
0.001,False,False,15000,0.0001,cholesky,17.10718
0.001,False,False,15000,0.0001,lsqr,84.65926
0.001,False,False,15000,0.0001,sparse_cg,84.65926
0.001,False,False,15000,0.0001,sag,84.58368
0.001,False,False,15000,0.0001,saga,84.62142000000001
0.001,False,False,15000,0.001,auto,17.10718
0.001,False,False,15000,0.001,svd,17.10718
0.001,False,False,15000,0.001,cholesky,17.10718
0.001,False,False,15000,0.001,lsqr,84.65926
0.001,False,False,15000,0.001,sparse_cg,84.65926
0.001,False,False,15000,0.001,sag,84.65169999999999
0.001,False,False,15000,0.001,saga,84.65547999999998
0.001,False,False,15000,0.01,auto,17.10718
0.001,False,False,15000,0.01,svd,17.10718
0.001,False,False,15000,0.01,cholesky,17.10718
0.001,False,False,15000,0.01,lsqr,84.65926
0.001,False,False,15000,0.01,sparse_cg,84.65926
0.001,False,False,15000,0.01,sag,86.66484
0.001,False,False,15000,0.01,saga,84.63088
0.001,False,False,15000,0.1,auto,17.10718
0.001,False,False,15000,0.1,svd,17.10718
0.001,False,False,15000,0.1,cholesky,17.10718
0.001,False,False,15000,0.1,lsqr,84.65926
0.001,False,False,15000,0.1,sparse_cg,84.65926
0.001,False,False,15000,0.1,sag,89.88324
0.001,False,False,15000,0.1,saga,84.77962
0.001,False,False,20000,0.0001,auto,17.10718
0.001,False,False,20000,0.0001,svd,17.10718
0.001,False,False,20000,0.0001,cholesky,17.10718
0.001,False,False,20000,0.0001,lsqr,84.65926
0.001,False,False,20000,0.0001,sparse_cg,84.65926
0.001,False,False,20000,0.0001,sag,84.58368
0.001,False,False,20000,0.0001,saga,84.62144
0.001,False,False,20000,0.001,auto,17.10718
0.001,False,False,20000,0.001,svd,17.10718
0.001,False,False,20000,0.001,cholesky,17.10718
0.001,False,False,20000,0.001,lsqr,84.65926
0.001,False,False,20000,0.001,sparse_cg,84.65926
0.001,False,False,20000,0.001,sag,84.65169999999999
0.001,False,False,20000,0.001,saga,84.65547999999998
0.001,False,False,20000,0.01,auto,17.10718
0.001,False,False,20000,0.01,svd,17.10718
0.001,False,False,20000,0.01,cholesky,17.10718
0.001,False,False,20000,0.01,lsqr,84.65926
0.001,False,False,20000,0.01,sparse_cg,84.65926
0.001,False,False,20000,0.01,sag,84.41351999999999
0.001,False,False,20000,0.01,saga,84.73544000000001
0.001,False,False,20000,0.1,auto,17.10718
0.001,False,False,20000,0.1,svd,17.10718
0.001,False,False,20000,0.1,cholesky,17.10718
0.001,False,False,20000,0.1,lsqr,84.65926
0.001,False,False,20000,0.1,sparse_cg,84.65926
0.001,False,False,20000,0.1,sag,88.93961999999999
0.001,False,False,20000,0.1,saga,84.67708
0.001,False,False,50000,0.0001,auto,17.10718
0.001,False,False,50000,0.0001,svd,17.10718
0.001,False,False,50000,0.0001,cholesky,17.10718
0.001,False,False,50000,0.0001,lsqr,84.65926
0.001,False,False,50000,0.0001,sparse_cg,84.65926
0.001,False,False,50000,0.0001,sag,84.58368
0.001,False,False,50000,0.0001,saga,84.62142000000001
0.001,False,False,50000,0.001,auto,17.10718
0.001,False,False,50000,0.001,svd,17.10718
0.001,False,False,50000,0.001,cholesky,17.10718
0.001,False,False,50000,0.001,lsqr,84.65926
0.001,False,False,50000,0.001,sparse_cg,84.65926
0.001,False,False,50000,0.001,sag,84.65169999999999
0.001,False,False,50000,0.001,saga,84.65547999999998
0.001,False,False,50000,0.01,auto,17.10718
0.001,False,False,50000,0.01,svd,17.10718
0.001,False,False,50000,0.01,cholesky,17.10718
0.001,False,False,50000,0.01,lsqr,84.65926
0.001,False,False,50000,0.01,sparse_cg,84.65926
0.001,False,False,50000,0.01,sag,86.682
0.001,False,False,50000,0.01,saga,84.67352
0.001,False,False,50000,0.1,auto,17.10718
0.001,False,False,50000,0.1,svd,17.10718
0.001,False,False,50000,0.1,cholesky,17.10718
0.001,False,False,50000,0.1,lsqr,84.65926
0.001,False,False,50000,0.1,sparse_cg,84.65926
0.001,False,False,50000,0.1,sag,86.31922
0.001,False,False,50000,0.1,saga,84.44197999999999
0.01,True,True,5000,0.0001,auto,13.815199999999999
0.01,True,True,5000,0.0001,svd,13.815199999999999
0.01,True,True,5000,0.0001,cholesky,13.815199999999999
0.01,True,True,5000,0.0001,lsqr,35.81928
0.01,True,True,5000,0.0001,sparse_cg,35.81928
0.01,True,True,5000,0.0001,sag,35.819300000000005
