Learning_rate,N_estimators,Min_samples_split,Min_samples_leaf,Max_depth,MMRE-
0.001,500,2,20,100,383.24212
0.001,500,6,1,5,383.197
0.001,500,6,1,10,383.09198
0.001,500,6,1,20,383.10630000000003
0.001,500,6,1,30,383.10630000000003
0.001,500,6,1,100,383.10630000000003
0.001,500,6,5,5,383.23033999999996
0.001,500,6,5,10,383.11976000000004
0.001,500,6,5,20,383.11868
0.001,500,6,5,30,383.11868
0.001,500,6,5,100,383.11868
0.001,500,6,10,5,383.24672
0.001,500,6,10,10,383.1288600000001
0.001,500,6,10,20,383.13043999999996
0.001,500,6,10,30,383.13043999999996
0.001,500,6,10,100,383.13043999999996
0.001,500,6,20,5,383.32908000000003
0.001,500,6,20,10,383.2442400000001
0.001,500,6,20,20,383.24212
0.001,500,6,20,30,383.24212
0.001,500,6,20,100,383.24212
0.001,500,10,1,5,383.20333999999997
0.001,500,10,1,10,383.10388
0.001,500,10,1,20,383.10974
0.001,500,10,1,30,383.10974
0.001,500,10,1,100,383.10974
0.001,500,10,5,5,383.23033999999996
0.001,500,10,5,10,383.11976000000004
0.001,500,10,5,20,383.11868
0.001,500,10,5,30,383.11868
0.001,500,10,5,100,383.11868
0.001,500,10,10,5,383.24672
0.001,500,10,10,10,383.1288600000001
0.001,500,10,10,20,383.13043999999996
0.001,500,10,10,30,383.13043999999996
0.001,500,10,10,100,383.13043999999996
0.001,500,10,20,5,383.32908000000003
0.001,500,10,20,10,383.2442400000001
0.001,500,10,20,20,383.24212
0.001,500,10,20,30,383.24212
0.001,500,10,20,100,383.24212
0.001,500,20,1,5,383.21013999999997
0.001,500,20,1,10,383.09464
0.001,500,20,1,20,383.09294000000006
0.001,500,20,1,30,383.09294000000006
0.001,500,20,1,100,383.09294000000006
0.001,500,20,5,5,383.22976
0.001,500,20,5,10,383.11534
0.001,500,20,5,20,383.11276000000004
0.001,500,20,5,30,383.11276000000004
0.001,500,20,5,100,383.11276000000004
0.001,500,20,10,5,383.24672
0.001,500,20,10,10,383.1288600000001
0.001,500,20,10,20,383.13043999999996
0.001,500,20,10,30,383.13043999999996
0.001,500,20,10,100,383.13043999999996
0.001,500,20,20,5,383.32908000000003
0.001,500,20,20,10,383.2442400000001
0.001,500,20,20,20,383.24212
0.001,500,20,20,30,383.24212
0.001,500,20,20,100,383.24212
0.001,500,40,1,5,383.22586
0.001,500,40,1,10,383.11704
0.001,500,40,1,20,383.118
0.001,500,40,1,30,383.118
0.001,500,40,1,100,383.118
0.001,500,40,5,5,383.23686
0.001,500,40,5,10,383.12300000000005
0.001,500,40,5,20,383.12392
0.001,500,40,5,30,383.12392
0.001,500,40,5,100,383.12392
0.001,500,40,10,5,383.24796000000003
0.001,500,40,10,10,383.1376
0.001,500,40,10,20,383.13674000000003
0.001,500,40,10,30,383.13674000000003
0.001,500,40,10,100,383.13674000000003
0.001,500,40,20,5,383.32908000000003
0.001,500,40,20,10,383.2442400000001
0.001,500,40,20,20,383.24212
0.001,500,40,20,30,383.24212
0.001,500,40,20,100,383.24212
0.01,10,2,1,5,571.1105
0.01,10,2,1,10,571.0769
0.01,10,2,1,20,571.08196
0.01,10,2,1,30,571.0818
0.01,10,2,1,100,571.0817800000001
0.01,10,2,5,5,571.11748
0.01,10,2,5,10,571.0915
0.01,10,2,5,20,571.09218
0.01,10,2,5,30,571.09218
0.01,10,2,5,100,571.09218
0.01,10,2,10,5,571.1215399999999
0.01,10,2,10,10,571.0983
0.01,10,2,10,20,571.0984199999999
0.01,10,2,10,30,571.0984199999999
0.01,10,2,10,100,571.0984199999999
0.01,10,2,20,5,571.1436799999999
0.01,10,2,20,10,571.13022
0.01,10,2,20,20,571.1298800000001
0.01,10,2,20,30,571.1298800000001
0.01,10,2,20,100,571.1298800000001
0.01,10,6,1,5,571.10932
0.01,10,6,1,10,571.07704
0.01,10,6,1,20,571.0803
0.01,10,6,1,30,571.0803
0.01,10,6,1,100,571.0803
0.01,10,6,5,5,571.11748
0.01,10,6,5,10,571.0915
0.01,10,6,5,20,571.09218
0.01,10,6,5,30,571.09218
0.01,10,6,5,100,571.09218
0.01,10,6,10,5,571.1215399999999
0.01,10,6,10,10,571.0983
0.01,10,6,10,20,571.0984199999999
0.01,10,6,10,30,571.0984199999999
0.01,10,6,10,100,571.0984199999999
0.01,10,6,20,5,571.1436799999999
0.01,10,6,20,10,571.13022
0.01,10,6,20,20,571.1298800000001
0.01,10,6,20,30,571.1298800000001
0.01,10,6,20,100,571.1298800000001
0.01,10,10,1,5,571.11166
0.01,10,10,1,10,571.0827999999999
0.01,10,10,1,20,571.0838200000001
0.01,10,10,1,30,571.0838200000001
0.01,10,10,1,100,571.0838200000001
0.01,10,10,5,5,571.11748
0.01,10,10,5,10,571.0915
0.01,10,10,5,20,571.09218
0.01,10,10,5,30,571.09218
0.01,10,10,5,100,571.09218
0.01,10,10,10,5,571.1215399999999
0.01,10,10,10,10,571.0983
0.01,10,10,10,20,571.0984199999999
0.01,10,10,10,30,571.0984199999999
0.01,10,10,10,100,571.0984199999999
0.01,10,10,20,5,571.1436799999999
0.01,10,10,20,10,571.13022
0.01,10,10,20,20,571.1298800000001
0.01,10,10,20,30,571.1298800000001
0.01,10,10,20,100,571.1298800000001
0.01,10,20,1,5,571.11308
0.01,10,20,1,10,571.0875
0.01,10,20,1,20,571.08672
0.01,10,20,1,30,571.08672
0.01,10,20,1,100,571.08672
