Learning_rate,N_estimators,Min_samples_split,Min_samples_leaf,Max_depth,MMRE-
0.001,350,40,20,20,11.47898
0.001,350,40,20,30,11.47898
0.001,350,40,20,100,11.47898
0.001,500,2,1,5,11.36224
0.001,500,2,1,10,10.82146
0.001,500,2,1,20,10.52036
0.001,500,2,1,30,10.4978
0.001,500,2,1,100,10.49694
0.001,500,2,5,5,11.3525
0.001,500,2,5,10,10.87846
0.001,500,2,5,20,10.6431
0.001,500,2,5,30,10.64616
0.001,500,2,5,100,10.64624
0.001,500,2,10,5,11.35874
0.001,500,2,10,10,10.91024
0.001,500,2,10,20,10.81216
0.001,500,2,10,30,10.81214
0.001,500,2,10,100,10.81222
0.001,500,2,20,5,11.37342
0.001,500,2,20,10,11.0619
0.001,500,2,20,20,11.03504
0.001,500,2,20,30,11.03504
0.001,500,2,20,100,11.03504
0.001,500,6,1,5,11.37058
0.001,500,6,1,10,10.81734
0.001,500,6,1,20,10.46744
0.001,500,6,1,30,10.44838
0.001,500,6,1,100,10.44974
0.001,500,6,5,5,11.35254
0.001,500,6,5,10,10.87754
0.001,500,6,5,20,10.64306
0.001,500,6,5,30,10.64642
0.001,500,6,5,100,10.64688
0.001,500,6,10,5,11.35872
0.001,500,6,10,10,10.91042
0.001,500,6,10,20,10.81226
0.001,500,6,10,30,10.81276
0.001,500,6,10,100,10.81226
0.001,500,6,20,5,11.37342
0.001,500,6,20,10,11.0619
0.001,500,6,20,20,11.03504
0.001,500,6,20,30,11.03504
0.001,500,6,20,100,11.03504
0.001,500,10,1,5,11.37928
0.001,500,10,1,10,10.84706
0.001,500,10,1,20,10.5477
0.001,500,10,1,30,10.54914
0.001,500,10,1,100,10.54788
0.001,500,10,5,5,11.35254
0.001,500,10,5,10,10.87776
0.001,500,10,5,20,10.64268
0.001,500,10,5,30,10.6463
0.001,500,10,5,100,10.64622
0.001,500,10,10,5,11.35874
0.001,500,10,10,10,10.9106
0.001,500,10,10,20,10.8122
0.001,500,10,10,30,10.81224
0.001,500,10,10,100,10.81224
0.001,500,10,20,5,11.37342
0.001,500,10,20,10,11.0619
0.001,500,10,20,20,11.03504
0.001,500,10,20,30,11.03502
0.001,500,10,20,100,11.03504
0.001,500,20,1,5,11.3863
0.001,500,20,1,10,10.89398
0.001,500,20,1,20,10.67164
0.001,500,20,1,30,10.66732
0.001,500,20,1,100,10.66694
0.001,500,20,5,5,11.36252
0.001,500,20,5,10,10.91762
0.001,500,20,5,20,10.76026
0.001,500,20,5,30,10.76162
0.001,500,20,5,100,10.76168
0.001,500,20,10,5,11.35874
0.001,500,20,10,10,10.91052
0.001,500,20,10,20,10.8122
0.001,500,20,10,30,10.81266
0.001,500,20,10,100,10.81222
0.001,500,20,20,5,11.37342
0.001,500,20,20,10,11.0619
0.001,500,20,20,20,11.03504
0.001,500,20,20,30,11.03502
0.001,500,20,20,100,11.03504
0.001,500,40,1,5,11.39426
0.001,500,40,1,10,10.97182
0.001,500,40,1,20,10.84804
0.001,500,40,1,30,10.84852
0.001,500,40,1,100,10.84838
0.001,500,40,5,5,11.3798
0.001,500,40,5,10,10.98098
0.001,500,40,5,20,10.91444
0.001,500,40,5,30,10.91456
0.001,500,40,5,100,10.91456
0.001,500,40,10,5,11.36874
0.001,500,40,10,10,11.00552
0.001,500,40,10,20,10.95602
0.001,500,40,10,30,10.9561
0.001,500,40,10,100,10.9561
0.001,500,40,20,5,11.37342
0.001,500,40,20,10,11.06192
0.001,500,40,20,20,11.03502
0.001,500,40,20,30,11.03504
0.001,500,40,20,100,11.03504
0.01,10,2,1,5,12.51656
0.01,10,2,1,10,12.35238
0.01,10,2,1,20,12.23554
0.01,10,2,1,30,12.2329
0.01,10,2,1,100,12.23232
0.01,10,2,5,5,12.51224
0.01,10,2,5,10,12.39016
0.01,10,2,5,20,12.32794
0.01,10,2,5,30,12.32808
0.01,10,2,5,100,12.32802
0.01,10,2,10,5,12.51262
0.01,10,2,10,10,12.40318
0.01,10,2,10,20,12.37802
0.01,10,2,10,30,12.37758
0.01,10,2,10,100,12.37738
0.01,10,2,20,5,12.51832
0.01,10,2,20,10,12.43518
0.01,10,2,20,20,12.42742
0.01,10,2,20,30,12.42742
0.01,10,2,20,100,12.42742
0.01,10,6,1,5,12.51704
0.01,10,6,1,10,12.35814
0.01,10,6,1,20,12.25804
0.01,10,6,1,30,12.25592
0.01,10,6,1,100,12.25416
0.01,10,6,5,5,12.51236
0.01,10,6,5,10,12.39002
0.01,10,6,5,20,12.32816
0.01,10,6,5,30,12.32774
0.01,10,6,5,100,12.32788
0.01,10,6,10,5,12.51262
0.01,10,6,10,10,12.40272
0.01,10,6,10,20,12.37754
0.01,10,6,10,30,12.37742
0.01,10,6,10,100,12.37744
0.01,10,6,20,5,12.51832
0.01,10,6,20,10,12.43518
0.01,10,6,20,20,12.42742
0.01,10,6,20,30,12.42742
0.01,10,6,20,100,12.4274
0.01,10,10,1,5,12.52184
0.01,10,10,1,10,12.37082
0.01,10,10,1,20,12.29368
0.01,10,10,1,30,12.28726
0.01,10,10,1,100,12.28736
0.01,10,10,5,5,12.5123
0.01,10,10,5,10,12.38984
0.01,10,10,5,20,12.32794
0.01,10,10,5,30,12.32782
0.01,10,10,5,100,12.32792
0.01,10,10,10,5,12.5126
0.01,10,10,10,10,12.40314
0.01,10,10,10,20,12.3774
0.01,10,10,10,30,12.3771
0.01,10,10,10,100,12.37712
0.01,10,10,20,5,12.51832
0.01,10,10,20,10,12.43518
0.01,10,10,20,20,12.4274
0.01,10,10,20,30,12.42742
0.01,10,10,20,100,12.42742
0.01,10,20,1,5,12.51996
0.01,10,20,1,10,12.3805
0.01,10,20,1,20,12.32694
0.01,10,20,1,30,12.32486
0.01,10,20,1,100,12.32644
0.01,10,20,5,5,12.5113
0.01,10,20,5,10,12.3993
0.01,10,20,5,20,12.36322
0.01,10,20,5,30,12.3631
0.01,10,20,5,100,12.36354
0.01,10,20,10,5,12.51266
0.01,10,20,10,10,12.40314
0.01,10,20,10,20,12.3782
0.01,10,20,10,30,12.37748
0.01,10,20,10,100,12.37754
0.01,10,20,20,5,12.51832
0.01,10,20,20,10,12.43518
0.01,10,20,20,20,12.4274
0.01,10,20,20,30,12.42742
0.01,10,20,20,100,12.4274
0.01,10,40,1,5,12.52148
0.01,10,40,1,10,12.41134
0.01,10,40,1,20,12.3838
0.01,10,40,1,30,12.38378
0.01,10,40,1,100,12.38352
0.01,10,40,5,5,12.51328
0.01,10,40,5,10,12.4184
0.01,10,40,5,20,12.40302
0.01,10,40,5,30,12.40298
0.01,10,40,5,100,12.40292
0.01,10,40,10,5,12.51438
0.01,10,40,10,10,12.42772
0.01,10,40,10,20,12.41472
0.01,10,40,10,30,12.4149
0.01,10,40,10,100,12.4147
0.01,10,40,20,5,12.51832
0.01,10,40,20,10,12.43518
0.01,10,40,20,20,12.4274
0.01,10,40,20,30,12.4274
0.01,10,40,20,100,12.4274
0.01,30,2,1,5,11.87192
