n_neighbors,weights,algorithm,leaf_size,p,MMRE-
5,distance,auto,50,2,23.082900000000002
5,distance,auto,100,1,20.65336
5,distance,auto,100,2,23.08944
5,distance,ball_tree,10,1,20.883
5,distance,ball_tree,10,2,23.08266
5,distance,ball_tree,20,1,20.761419999999998
5,distance,ball_tree,20,2,23.142860000000002
5,distance,ball_tree,30,1,20.90618
5,distance,ball_tree,30,2,23.09384
5,distance,ball_tree,40,1,20.90618
5,distance,ball_tree,40,2,23.09384
5,distance,ball_tree,50,1,20.90618
5,distance,ball_tree,50,2,23.09384
5,distance,ball_tree,100,1,20.74908
5,distance,ball_tree,100,2,23.098019999999998
5,distance,kd_tree,10,1,20.799879999999998
5,distance,kd_tree,10,2,23.06456
5,distance,kd_tree,20,1,20.66952
5,distance,kd_tree,20,2,23.08048
5,distance,kd_tree,30,1,20.83266
5,distance,kd_tree,30,2,23.082900000000002
5,distance,kd_tree,40,1,20.83266
5,distance,kd_tree,40,2,23.082900000000002
5,distance,kd_tree,50,1,20.83266
5,distance,kd_tree,50,2,23.082900000000002
5,distance,kd_tree,100,1,20.65336
5,distance,kd_tree,100,2,23.08944
5,distance,brute,10,1,20.74676
5,distance,brute,10,2,23.38924
5,distance,brute,20,1,20.74676
5,distance,brute,20,2,23.38924
5,distance,brute,30,1,20.74676
5,distance,brute,30,2,23.38924
5,distance,brute,40,1,20.74676
5,distance,brute,40,2,23.38924
5,distance,brute,50,1,20.74676
5,distance,brute,50,2,23.38924
5,distance,brute,100,1,20.74676
5,distance,brute,100,2,23.38924
7,uniform,auto,10,1,22.69382
7,uniform,auto,10,2,26.61768
7,uniform,auto,20,1,22.62178
7,uniform,auto,20,2,26.48274
7,uniform,auto,30,1,22.752520000000004
7,uniform,auto,30,2,26.55952
7,uniform,auto,40,1,22.752520000000004
7,uniform,auto,40,2,26.55952
7,uniform,auto,50,1,22.752520000000004
7,uniform,auto,50,2,26.55952
7,uniform,auto,100,1,22.49296
7,uniform,auto,100,2,26.4852
7,uniform,ball_tree,10,1,22.807660000000002
7,uniform,ball_tree,10,2,26.66168
7,uniform,ball_tree,20,1,22.753459999999997
7,uniform,ball_tree,20,2,26.554040000000004
7,uniform,ball_tree,30,1,22.803919999999998
7,uniform,ball_tree,30,2,26.595019999999998
7,uniform,ball_tree,40,1,22.803919999999998
7,uniform,ball_tree,40,2,26.595019999999998
7,uniform,ball_tree,50,1,22.803919999999998
7,uniform,ball_tree,50,2,26.595019999999998
7,uniform,ball_tree,100,1,22.6209
7,uniform,ball_tree,100,2,26.501780000000004
7,uniform,kd_tree,10,1,22.69382
7,uniform,kd_tree,10,2,26.61768
7,uniform,kd_tree,20,1,22.62178
7,uniform,kd_tree,20,2,26.48274
7,uniform,kd_tree,30,1,22.752520000000004
7,uniform,kd_tree,30,2,26.55952
7,uniform,kd_tree,40,1,22.752520000000004
7,uniform,kd_tree,40,2,26.55952
7,uniform,kd_tree,50,1,22.752520000000004
7,uniform,kd_tree,50,2,26.55952
7,uniform,kd_tree,100,1,22.49296
7,uniform,kd_tree,100,2,26.4852
7,uniform,brute,10,1,22.803720000000002
7,uniform,brute,10,2,26.808600000000002
7,uniform,brute,20,1,22.803720000000002
7,uniform,brute,20,2,26.808600000000002
7,uniform,brute,30,1,22.803720000000002
7,uniform,brute,30,2,26.808600000000002
7,uniform,brute,40,1,22.803720000000002
7,uniform,brute,40,2,26.808600000000002
7,uniform,brute,50,1,22.803720000000002
7,uniform,brute,50,2,26.808600000000002
7,uniform,brute,100,1,22.803720000000002
7,uniform,brute,100,2,26.808600000000002
7,distance,auto,10,1,21.40216
7,distance,auto,10,2,24.75262
7,distance,auto,20,1,21.37256
7,distance,auto,20,2,24.6664
7,distance,auto,30,1,21.46246
7,distance,auto,30,2,24.70016
7,distance,auto,40,1,21.46246
7,distance,auto,40,2,24.70016
7,distance,auto,50,1,21.46246
7,distance,auto,50,2,24.70016
7,distance,auto,100,1,21.28046
7,distance,auto,100,2,24.64454
7,distance,ball_tree,10,1,21.46922
7,distance,ball_tree,10,2,24.7822
7,distance,ball_tree,20,1,21.4454
7,distance,ball_tree,20,2,24.70814
7,distance,ball_tree,30,1,21.49284
7,distance,ball_tree,30,2,24.72018
7,distance,ball_tree,40,1,21.49284
7,distance,ball_tree,40,2,24.72018
7,distance,ball_tree,50,1,21.49284
7,distance,ball_tree,50,2,24.72018
7,distance,ball_tree,100,1,21.35856
7,distance,ball_tree,100,2,24.65448
