n_neighbors,weights,algorithm,leaf_size,p,MMRE-
7,distance,auto,50,2,7.252160000000001
7,distance,auto,100,1,7.03296
7,distance,auto,100,2,7.25218
7,distance,ball_tree,10,1,7.03296
7,distance,ball_tree,10,2,7.25214
7,distance,ball_tree,20,1,7.03296
7,distance,ball_tree,20,2,7.252160000000001
7,distance,ball_tree,30,1,7.03296
7,distance,ball_tree,30,2,7.252160000000001
7,distance,ball_tree,40,1,7.03296
7,distance,ball_tree,40,2,7.252159999999999
7,distance,ball_tree,50,1,7.03296
7,distance,ball_tree,50,2,7.252159999999999
7,distance,ball_tree,100,1,7.03296
7,distance,ball_tree,100,2,7.252159999999999
7,distance,kd_tree,10,1,7.03296
7,distance,kd_tree,10,2,7.252159999999999
7,distance,kd_tree,20,1,7.03296
7,distance,kd_tree,20,2,7.25214
7,distance,kd_tree,30,1,7.03296
7,distance,kd_tree,30,2,7.25214
7,distance,kd_tree,40,1,7.03296
7,distance,kd_tree,40,2,7.252160000000001
7,distance,kd_tree,50,1,7.03296
7,distance,kd_tree,50,2,7.252160000000001
7,distance,kd_tree,100,1,7.03296
7,distance,kd_tree,100,2,7.25218
7,distance,brute,10,1,7.03296
7,distance,brute,10,2,7.252160000000001
7,distance,brute,20,1,7.03296
7,distance,brute,20,2,7.252160000000001
7,distance,brute,30,1,7.03296
7,distance,brute,30,2,7.252160000000001
7,distance,brute,40,1,7.03296
7,distance,brute,40,2,7.252160000000001
7,distance,brute,50,1,7.03296
7,distance,brute,50,2,7.252160000000001
7,distance,brute,100,1,7.03296
7,distance,brute,100,2,7.252160000000001
9,uniform,auto,10,1,8.98942
9,uniform,auto,10,2,9.262739999999999
9,uniform,auto,20,1,8.98942
9,uniform,auto,20,2,9.262739999999999
9,uniform,auto,30,1,8.98942
9,uniform,auto,30,2,9.262739999999999
9,uniform,auto,40,1,8.98942
9,uniform,auto,40,2,9.262739999999999
9,uniform,auto,50,1,8.98942
9,uniform,auto,50,2,9.262739999999999
9,uniform,auto,100,1,8.9894
9,uniform,auto,100,2,9.262739999999999
9,uniform,ball_tree,10,1,8.98942
9,uniform,ball_tree,10,2,9.262739999999999
9,uniform,ball_tree,20,1,8.98942
9,uniform,ball_tree,20,2,9.26272
9,uniform,ball_tree,30,1,8.98942
9,uniform,ball_tree,30,2,9.26272
