N_estimators,Max_depth,Min_samples_split,Min_samples_leaf,max_features,Min_impurity_decrease,MMRE-
10,10,10,5,log2,0.2,49.2854
10,10,10,5,log2,0.3,51.28144
10,10,10,10,None,0,4.73978
10,10,10,10,None,0.1,4.7035
10,10,10,10,None,0.2,4.74208
10,10,10,10,None,0.3,4.77102
10,10,10,10,sqrt,0,76.78224
10,10,10,10,sqrt,0.1,87.81858
10,10,10,10,sqrt,0.2,88.92362
10,10,10,10,sqrt,0.3,66.8965
10,10,10,10,log2,0,74.6331
10,10,10,10,log2,0.1,76.55778
10,10,10,10,log2,0.2,83.69762
10,10,10,10,log2,0.3,85.27642
10,10,10,20,None,0,5.16768
10,10,10,20,None,0.1,5.16704
10,10,10,20,None,0.2,5.18374
10,10,10,20,None,0.3,5.12816
10,10,10,20,sqrt,0,109.36448
10,10,10,20,sqrt,0.1,114.80094
10,10,10,20,sqrt,0.2,125.3034
10,10,10,20,sqrt,0.3,141.78076
10,10,10,20,log2,0,139.79472
10,10,10,20,log2,0.1,149.91284
10,10,10,20,log2,0.2,133.07876
10,10,10,20,log2,0.3,117.32534
10,10,20,1,None,0,4.48128
10,10,20,1,None,0.1,4.52628
10,10,20,1,None,0.2,4.51722
10,10,20,1,None,0.3,4.52312
10,10,20,1,sqrt,0,64.24216
10,10,20,1,sqrt,0.1,71.23612
10,10,20,1,sqrt,0.2,66.4661
10,10,20,1,sqrt,0.3,59.79064
10,10,20,1,log2,0,49.38536
10,10,20,1,log2,0.1,64.18162
10,10,20,1,log2,0.2,51.32952
10,10,20,1,log2,0.3,71.4998
10,10,20,5,None,0,4.55418
10,10,20,5,None,0.1,4.53118
10,10,20,5,None,0.2,4.5179
10,10,20,5,None,0.3,4.55402
10,10,20,5,sqrt,0,79.50778
10,10,20,5,sqrt,0.1,50.6985
10,10,20,5,sqrt,0.2,52.94106
10,10,20,5,sqrt,0.3,72.76882
10,10,20,5,log2,0,50.03422
10,10,20,5,log2,0.1,69.61532
10,10,20,5,log2,0.2,55.51426
10,10,20,5,log2,0.3,62.08766
10,10,20,10,None,0,4.72888
10,10,20,10,None,0.1,4.76782
10,10,20,10,None,0.2,4.76422
10,10,20,10,None,0.3,4.7296
10,10,20,10,sqrt,0,73.27172
10,10,20,10,sqrt,0.1,87.88952
